trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
226,False,"{'a': 0.9, 'e': 0.10317013030157669}",20,6,22.0746732719526,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.9, 'e': 0.10213842899856092}",20,10,-7.319779056645224,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
228,False,"{'a': 0.9, 'e': 0.10111704470857531}",25,11,19.57196732134856,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.9, 'e': 0.10010587426148955}",20,0,28.794682145150936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
230,False,"{'a': 0.9, 'e': 0.09910481551887466}",20,2,27.82951573623231,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.9, 'e': 0.0981137673636859}",30,13,32.631072854524476,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.9, 'e': 0.09713262969004904}",25,0,24.013585515183205,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
233,False,"{'a': 0.9, 'e': 0.09616130339314856}",25,0,25.193741496581048,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
234,False,"{'a': 0.9, 'e': 0.09519969035921708}",20,0,26.70518508879486,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.9, 'e': 0.0942476934556249}",20,7,7.146410407860994,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
236,False,"{'a': 0.9, 'e': 0.09330521652106866}",20,13,11.6853124239021,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.9, 'e': 0.09237216435585796}",20,6,8.401672221897847,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.9, 'e': 0.09144844271229938}",35,14,23.467238932567533,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.9, 'e': 0.0905339582851764}",25,11,-23.231954873381138,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
240,False,"{'a': 0.9, 'e': 0.08962861870232462}",20,5,10.039940224624662,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.9, 'e': 0.08873233251530138}",30,19,1.9857413441101006,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
242,False,"{'a': 0.9, 'e': 0.08784500919014836}",25,8,27.036184820796723,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.9, 'e': 0.08696655909824688}",20,15,3.373863651885016,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.9, 'e': 0.0860968935072644}",30,11,20.224925422076815,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.9, 'e': 0.08523592457219176}",25,4,-48.41469553923345,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 2}",1
246,False,"{'a': 0.9, 'e': 0.08438356532646984}",25,14,21.11054343748534,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.9, 'e': 0.08353972967320515}",30,17,17.86488504445348,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.9, 'e': 0.0827043323764731}",20,4,14.019693095106124,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.9, 'e': 0.08187728905270836}",20,12,14.826265391628791,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.9, 'e': 0.08105851616218128}",30,16,22.401746997434554,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.9, 'e': 0.08024793100055946}",25,4,34.639490397644735,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.9, 'e': 0.07944545169055386}",20,13,11.489812082772938,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.9, 'e': 0.07865099717364833}",20,0,26.063622782302538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
254,False,"{'a': 0.9, 'e': 0.07786448720191184}",30,8,8.636252187603919,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.9, 'e': 0.07708584232989273}",25,6,29.371843979613185,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.9, 'e': 0.0763149839065938}",20,13,8.07529104882224,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.9, 'e': 0.07555183406752786}",25,15,17.216359476130712,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.9, 'e': 0.07479631572685258}",20,15,6.813059394792371,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.9, 'e': 0.07404835256958406}",30,23,15.432969609450748,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.9, 'e': 0.07330786904388821}",20,12,16.175919770209752,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.9, 'e': 0.07257479035344933}",20,13,0.3770991108517121,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.9, 'e': 0.07184904244991483}",30,18,4.066376695584017,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.9, 'e': 0.07113055202541568}",25,9,27.525170757924222,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.9, 'e': 0.07041924650516153}",25,7,26.22170571662175,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.9, 'e': 0.06971505404010991}",25,15,20.253149385110692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.9, 'e': 0.06901790349970881}",20,11,9.332691232102578,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.9, 'e': 0.06832772446471172}",20,12,2.126134608232432,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.9, 'e': 0.0676444472200646}",30,16,28.20554542788533,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.9, 'e': 0.06696800274786396}",25,8,16.813445496842306,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.9, 'e': 0.06629832272038531}",25,7,31.31292308749474,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.9, 'e': 0.06563533949318147}",25,4,27.545503798849342,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.9, 'e': 0.06497898609824965}",25,16,14.158718773180185,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.9, 'e': 0.06432919623726716}",20,12,15.509350040185291,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.9, 'e': 0.06368590427489448}",30,17,21.741197161854586,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.9, 'e': 0.06304904523214554}",20,14,8.569913004059531,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.9, 'e': 0.06241855477982408}",20,0,34.91406216637255,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
277,False,"{'a': 0.9, 'e': 0.06179436923202584}",20,9,7.3558323661391505,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.9, 'e': 0.06117642553970558}",25,16,19.947054869934373,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.9, 'e': 0.06056466128430853}",30,16,21.9167305586935,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.9, 'e': 0.05995901467146544}",20,3,30.643652946417355,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.9, 'e': 0.059359424524750785}",20,14,8.66169773883002,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.9, 'e': 0.05876583027950327}",25,16,14.646026738657655,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.9, 'e': 0.05817817197670824}",25,17,-8.233963275221369,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
284,False,"{'a': 0.9, 'e': 0.05759639025694116}",30,21,17.218999936883296,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.9, 'e': 0.057020426354371746}",25,9,16.767934613404172,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
286,False,"{'a': 0.9, 'e': 0.05645022209082803}",25,17,15.719973990084853,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.9, 'e': 0.05588571986991975}",25,15,7.726715028649209,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
288,False,"{'a': 0.9, 'e': 0.05532686267122055}",20,0,10.659448813924017,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
289,False,"{'a': 0.9, 'e': 0.05477359404450834}",20,9,22.75504614677107,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.9, 'e': 0.05422585810406326}",20,12,12.673255235073935,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.9, 'e': 0.05368359952302263}",35,23,16.324117876434098,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 0.9, 'e': 0.0531467635277924}",35,18,7.145233946952368,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
293,False,"{'a': 0.9, 'e': 0.05261529589251448}",20,13,16.29386498746181,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,False,"{'a': 0.9, 'e': 0.05208914293358933}",25,10,30.92033204721155,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.9, 'e': 0.05156825150425344}",25,11,27.307784529195324,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,False,"{'a': 0.9, 'e': 0.0510525689892109}",20,16,7.926851538186111,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
